,상호,주소,가격,셀프,상표,구
125,㈜명연에너지 효성주유소,서울 성북구 화랑로 27,1695.0,Y,GS칼텍스,성북구
126,HD현대오일뱅크㈜직영 아리랑주유소,서울 성북구 아리랑로 96 (정릉동),1715.0,N,HD현대오일뱅크,성북구
127,SK에너지(주) 드림랜드주유소,서울 성북구 월계로 128 (장위동),1735.0,N,SK에너지,성북구
128,동일주유소,서울특별시 성북구  보문로 85 (보문동5가),1735.0,Y,S-OIL,성북구
129,신동방주유소,서울 성북구 월계로 84 (장위동),1735.0,Y,S-OIL,성북구
130,지에스칼텍스(주) 종암주유소,서울 성북구 종암로 145 (종암동),1740.0,Y,GS칼텍스,성북구
131,삼선주유소,서울 성북구 창경궁로 324,1755.0,Y,S-OIL,성북구
132,지에스칼텍스㈜ 화랑주유소,서울 성북구 화랑로 185,1839.0,N,GS칼텍스,성북구
133,지에스칼텍스㈜ 세창주유소,서울 성북구 동소문로 323,2014.0,Y,GS칼텍스,성북구
134,(주)삼표에너지 훼미리주유소,서울 송파구 중대로 58 (문정동),1683.0,Y,GS칼텍스,송파구
135,HD현대오일뱅크㈜직영 잠실셀프주유소,서울 송파구 송파대로 397 (석촌동),1683.0,Y,HD현대오일뱅크,송파구
136,지에스이앤알 직영 송파제일주유소,서울 송파구 삼학사로 50 (석촌동),1693.0,Y,HD현대오일뱅크,송파구
137,(주)삼표에너지 우리주유소,서울 송파구 동남로 153,1697.0,Y,GS칼텍스,송파구
138,(주)삼표에너지 아시아주유소,서울 송파구 도곡로 438 (잠실동),1703.0,Y,GS칼텍스,송파구
139,삼화주유소,서울 송파구 백제고분로 125,1703.0,Y,GS칼텍스,송파구
140,상아주유소,서울 송파구 거마로 82,1713.0,Y,S-OIL,송파구
141,위례제일주유소 (주)버드에너지,서울 송파구 위례서로 260,1713.0,Y,S-OIL,송파구
142,대성주유소,서울 송파구 마천로 230 (마천동),1718.0,N,SK에너지,송파구
143,(주)유진주유소,서울 송파구 동남로 325 (오금동),1723.0,N,SK에너지,송파구
144,(주)잠실에너지,서울 송파구 송파대로 442 (송파동),1725.0,Y,S-OIL,송파구
145,송파스마일주유소,서울 송파구 송이로 28 (송파동),1725.0,Y,GS칼텍스,송파구
146,(주)퍼스트오일서울주유소,서울 송파구 문정로 153,1730.0,N,S-OIL,송파구
147,위례드림주유소,서울시 송파구  위례중앙로 10,1733.0,Y,S-OIL,송파구
148,남성대주유소,서울 송파구 송파대로 52 (장지동),1733.0,Y,SK에너지,송파구
