,상호,주소,가격,셀프,상표,구
314,(주)연우에너지 신관주유소,서울 관악구 신림로 290 (신림동),1698.0,Y,알뜰주유소,관악구
315,(주)엠오티이엔지 직영 삼화주유소,서울 관악구 보라매로 41,1709.0,N,HD현대오일뱅크,관악구
316,대양석유(주)직영 보라매주유소,서울 관악구  보라매로 26 (봉천동),1724.0,Y,SK에너지,관악구
317,HD현대오일뱅크㈜직영 관악셀프주유소,서울 관악구 남부순환로 1520 (신림동),1733.0,Y,HD현대오일뱅크,관악구
318,(주)한유에너지 행운주유소,서울 관악구 남부순환로 1883 (봉천동),1735.0,Y,SK에너지,관악구
319,현대주유소,서울 관악구 난곡로 108 (신림동),1739.0,N,HD현대오일뱅크,관악구
320,HD현대오일뱅크㈜직영 문성골주유소,서울 관악구 문성로 97 (신림동),1739.0,N,HD현대오일뱅크,관악구
321,서일석유(주)락성주유소,서울 관악구 남부순환로 1920 (봉천동),1750.0,Y,GS칼텍스,관악구
322,유림주유소,서울 관악구 신림로 176 (신림동),1758.0,N,S-OIL,관악구
323,SK에너지(주)직영 신봉천주유소,서울 관악구 남부순환로 1880 (봉천동),1760.0,N,SK에너지,관악구
324,SK에너지(주)직영 대공원주유소,서울 관악구 과천대로 921 (남현동),1760.0,N,SK에너지,관악구
325,관악시몬주유소,서울특별시 관악구 남부순환로 1753 (봉천동),1825.0,N,S-OIL,관악구
326,CJ대한통운㈜ 신림주유소,서울 관악구 남부순환로 1515 (신림동),1858.0,N,GS칼텍스,관악구
327,지에스칼텍스㈜ 난곡주유소,서울 관악구 난곡로 206,2059.0,N,GS칼텍스,관악구
328,삼호주유소,서울 광진구 천호대로 809 (광장동),1667.0,Y,S-OIL,광진구
329,(주)자연에너지 중원주유소,서울 광진구 동일로 398 (중곡동),1667.0,Y,HD현대오일뱅크,광진구
330,HD현대오일뱅크㈜직영 능동주유소,서울 광진구 천호대로 584 (능동),1667.0,Y,HD현대오일뱅크,광진구
331,(주)창원CW,서울 광진구 광나루로 460 (화양동),1667.0,Y,HD현대오일뱅크,광진구
332,용마주유소,서울 광진구 용마산로 68 (중곡동),1683.0,N,GS칼텍스,광진구
333,(주)장수주유소,서울 광진구 동일로 266 (군자동),1695.0,Y,SK에너지,광진구
334,정해네트웍스(주)일진주유소,서울 광진구 동일로 413 (중곡동),1697.0,Y,S-OIL,광진구
335,HD현대오일뱅크㈜직영 장호셀프주유소,서울 광진구 자양로 37 (자양동),1699.0,Y,HD현대오일뱅크,광진구
336,HD현대오일뱅크㈜직영 중곡현대주유소,서울 광진구 동일로 435 (중곡동),1699.0,Y,HD현대오일뱅크,광진구
337,유니스에너지 자양주유소,서울 광진구 아차산로 298 (자양동),1798.0,N,SK에너지,광진구
338,강평주유소 ㈜강평텔레콤,서울 광진구 아차산로 616,1887.0,N,SK에너지,광진구
339,신성주유소,서울 구로구 구로동로 187 (구로제2동),1654.0,Y,알뜰주유소,구로구
340,㈜자연에너지 고척주유소,서울 구로구 고척로 199 (고척동),1675.0,Y,HD현대오일뱅크,구로구
341,(주)서울에너지 궁동주유소,서울 구로구 오리로 1299 (궁동),1675.0,Y,HD현대오일뱅크,구로구
342,개봉주유소,서울 구로구 고척로 115 (개봉동),1675.0,Y,HD현대오일뱅크,구로구
343,(주)한미석유구로그린주유소,서울 구로구 구로중앙로 76 (구로동),1676.0,Y,GS칼텍스,구로구
344,SK구로주유소,서울 구로구 구일로 94 (구로동),1677.0,N,SK에너지,구로구
345,구인주유소,서울 구로구 경인로 558 (구로동),1677.0,N,SK에너지,구로구
346,씨앤에스유통(주) 구로드림주유소,서울 구로구 경인로 41 (온수동),1685.0,Y,S-OIL,구로구
347,극동유화(주) 항동주유소,서울 구로구 서해안로 2154 (항동),1685.0,Y,S-OIL,구로구
348,서서울고속주유소,서울 구로구 경인로 150 (오류동),1695.0,Y,SK에너지,구로구
349,대원셀프주유소,서울 구로구 개봉로 7,1719.0,Y,HD현대오일뱅크,구로구
350,HD현대오일뱅크㈜직영 구로셀프주유소,서울 구로구 시흥대로 531,1723.0,Y,HD현대오일뱅크,구로구
351,대성산업(주)디큐브주유소,서울 구로구 경인로 650 (신도림동),1735.0,N,GS칼텍스,구로구
352,지에스칼텍스㈜ 개봉동주유소,서울 구로구 경인로 290,1770.0,Y,GS칼텍스,구로구
353,(주)제이제이네트웍스 신구로주유소,서울 구로구 가마산로 293 (구로동),1799.0,N,HD현대오일뱅크,구로구
354,동아주유소,서울 구로구 도림로 91 (구로동),1958.0,N,S-OIL,구로구
355,구로주유소,서울 구로구 구로동로 137 (구로동),2290.0,N,GS칼텍스,구로구
356,HD현대오일뱅크㈜직영 금천현대셀프주유소,서울 금천구 독산로 147 (시흥동),1673.0,Y,HD현대오일뱅크,금천구
357,(주)백운주유소,서울 금천구 시흥대로 282 (독산동),1684.0,Y,알뜰주유소,금천구
358,구광주유소,서울 금천구 서부샛길 674 (가산동),1685.0,N,S-OIL,금천구
359,HD현대오일뱅크㈜직영 남서울셀프주유소,서울 금천구 독산로 257 (독산동),1693.0,Y,HD현대오일뱅크,금천구
360,(주)화동유업 화동주유소,서울 금천구 시흥대로 484,1698.0,Y,SK에너지,금천구
361,현대오일뱅크㈜직영 금천제일주유소,서울 금천구 남부순환로 1410 (독산동),1743.0,N,HD현대오일뱅크,금천구
362,백산주유소,서울특별시 금천구  시흥대로 174 (시흥동),1745.0,Y,S-OIL,금천구
363,대득에너지(금천셀프주유소),서울 금천구  시흥대로 81 (시흥동),1745.0,Y,GS칼텍스,금천구
364,SK에너지(주) 박미주유소,서울 금천구 시흥대로 39-7 (시흥동),1755.0,Y,SK에너지,금천구
365,SK에너지(주) 이가주유소,서울 금천구 시흥대로 441,1759.0,N,SK에너지,금천구
366,지에스칼텍스(주)일신주유소,서울 금천구 시흥대로 118,1800.0,Y,GS칼텍스,금천구
367,(주)정건에너지직영,서울 노원구 노원로17길 29 (하계동),1675.0,Y,HD현대오일뱅크,노원구
368,태릉솔밭주유소,서울 노원구 노원로 49 (공릉동),1675.0,Y,S-OIL,노원구
369,구도일주유소 불암,서울 노원구 한글비석로 268 (중계동),1678.0,Y,S-OIL,노원구
370,이엠석유(주)배꽃나라주유소,서울 노원구 화랑로 466 (공릉1동),1680.0,Y,GS칼텍스,노원구
371,월계주유소,서울 노원구 월계로 252 (월계동),1686.0,Y,GS칼텍스,노원구
372,화랑대주유소,서울 노원구 화랑로 483,1695.0,Y,HD현대오일뱅크,노원구
373,삼육주유소,서울 노원구 화랑로 822 (공릉동),1695.0,Y,SK에너지,노원구
374,한신주유소,서울 노원구 동일로 1089 (공릉동),1695.0,Y,S-OIL,노원구
375,상계동주유소,서울 노원구 노원로26길 191 (상계동),1735.0,N,HD현대오일뱅크,노원구
376,신성주유소,서울 노원구 월계로 328 (월계동),1738.0,Y,S-OIL,노원구
377,(주)소모 수락산셀프주유소,서울 노원구 동일로 1772,1738.0,Y,GS칼텍스,노원구
378,성북역주유소,서울 노원구 광운로 95 (월계동),1738.0,N,GS칼텍스,노원구
379,SK에너지㈜직영 상계주유소,서울 노원구 노해로 527 (상계동),1749.0,N,SK에너지,노원구
380,하계삼호주유소,서울 노원구 공릉로 294 (하계동),1855.0,N,GS칼텍스,노원구
381,한이에너지(주) 쌍문주유소,서울 도봉구 도봉로 547 (쌍문동),1665.0,Y,S-OIL,도봉구
382,도봉제일주유소(주)송만에너지,서울 도봉구 도봉로 783 (도봉동),1665.0,N,HD현대오일뱅크,도봉구
383,이케이에너지 주식회사,서울 도봉구 도봉로 941 (도봉동),1665.0,Y,HD현대오일뱅크,도봉구
384,(주)자연에너지 햇살주유소,서울 도봉구 방학로 142 (방학동),1665.0,Y,HD현대오일뱅크,도봉구
385,삼미북부셀프주유소,서울 도봉구 도봉로 437 (쌍문동),1665.0,Y,SK에너지,도봉구
386,(주)헨지스에너지 구도일주유소 도봉,서울 도봉구 도봉로 706 (방학동),1675.0,Y,S-OIL,도봉구
387,극동유화(주) 대안주유소,서울 도봉구 마들로 574 (창동),1685.0,Y,S-OIL,도봉구
388,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),1705.0,Y,S-OIL,도봉구
389,동일석유(주) 창동주유소,서울 도봉구  도봉로 434 (창동),1717.0,Y,SK에너지,도봉구
390,(주)쌍문셀프주유소,서울 도봉구 노해로 161 (쌍문동),1725.0,Y,HD현대오일뱅크,도봉구
391,대성산업(주)신창주유소,서울 도봉구 덕릉로 267 (창동),1725.0,Y,GS칼텍스,도봉구
392,지에스칼텍스㈜ 방학동주유소,서울 도봉구 방학로 186,1730.0,Y,GS칼텍스,도봉구
393,오복주유소,서울 도봉구 방학로 43,1745.0,Y,S-OIL,도봉구
394,HD현대오일뱅크㈜직영 영신주유소,서울 도봉구 방학로 151,1747.0,N,HD현대오일뱅크,도봉구
395,노원교주유소,서울 도봉구 마들로 776 (도봉동),1763.0,Y,HD현대오일뱅크,도봉구
396,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),1678.0,Y,SK에너지,강남구
397,HD현대오일뱅크㈜직영 산성셀프주유소,서울 강남구 헌릉로 730,1707.0,Y,HD현대오일뱅크,강남구
398,방죽주유소,서울 강남구 밤고개로 215 (율현동),1727.0,Y,GS칼텍스,강남구
399,자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),1737.0,Y,SK에너지,강남구
400,HD현대오일뱅크㈜직영 도곡셀프주유소,서울 강남구  남부순환로 2718,1739.0,Y,HD현대오일뱅크,강남구
401,HD현대오일뱅크㈜직영 유진주유소,서울 강남구 논현로 152 (도곡동),1749.0,N,HD현대오일뱅크,강남구
402,오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),1756.0,Y,SK에너지,강남구
403,(주)중앙에너비스 수서지점,서울 강남구 광평로 202 (수서동),1757.0,Y,SK에너지,강남구
404,극동유화㈜ 개나리주유소,서울 강남구 언주로 423 (역삼동),1776.0,Y,S-OIL,강남구
405,일원주유소,서울 강남구 양재대로55길 3 (일원동),1778.0,Y,S-OIL,강남구
406,SK서광주유소,서울 강남구 역삼로 142,1795.0,Y,SK에너지,강남구
407,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),1798.0,N,S-OIL,강남구
408,지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,1834.0,N,GS칼텍스,강남구
409,대교셀프주유소,서울 강남구 강남대로 640 (신사동),1840.0,Y,SK에너지,강남구
410,삼성동주유소,서울 강남구 테헤란로 619 (삼성동),1845.0,Y,HD현대오일뱅크,강남구
411,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,1857.0,Y,SK에너지,강남구
412,대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),1857.0,Y,SK에너지,강남구
413,세진에너지(주) 개포주유소,서울 강남구 양재대로 339,1898.0,Y,GS칼텍스,강남구
414,지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),1914.0,Y,GS칼텍스,강남구
415,HD현대오일뱅크㈜직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),1939.0,N,HD현대오일뱅크,강남구
416,지에스칼텍스㈜ 삼성로주유소,서울 강남구 삼성로 563 (삼성동),2060.0,Y,GS칼텍스,강남구
417,HD현대오일뱅크㈜직영 한양주유소,서울 강남구 압구정로 302 (신사동),2178.0,N,HD현대오일뱅크,강남구
418,명품주유소,서울 강남구 도곡로 249 (역삼동),2228.0,Y,S-OIL,강남구
419,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,2253.0,N,GS칼텍스,강남구
420,㈜새서울석유 새서울주유소,서울 강남구 압구정로 154,2258.0,N,HD현대오일뱅크,강남구
421,대청주유소,서울 강남구 개포로 654 (일원동),2276.0,N,SK에너지,강남구
422,SK논현주유소,서울 강남구 논현로 747 (논현동),2326.0,N,SK에너지,강남구
423,(주)제이제이네트웍스 제이제이주유소,서울 강남구 언주로 716,2474.0,N,HD현대오일뱅크,강남구
424,(주)만정에너지 삼보주유소,서울 강남구 봉은사로 433 (삼성동),2593.0,N,GS칼텍스,강남구
